iter	Passed	Remaining
724	39045	14810
725	39100	14756
726	39155	14703
727	39206	14648
728	39260	14594
729	39318	14542
730	39377	14490
731	39435	14438
732	39494	14386
733	39550	14333
734	39605	14279
735	39659	14225
736	39709	14170
737	39762	14116
738	39815	14061
739	39872	14009
740	39930	13956
741	39989	13904
742	40044	13851
743	40096	13796
744	40153	13743
745	40213	13692
746	40270	13639
747	40322	13584
748	40377	13530
749	40435	13478
750	40486	13423
751	40540	13369
752	40600	13317
753	40652	13263
754	40708	13210
755	40758	13154
756	40813	13101
757	40871	13048
758	40924	12994
759	40979	12940
760	41031	12886
761	41089	12833
762	41141	12779
763	41191	12723
764	41248	12671
765	41306	12618
766	41365	12566
767	41425	12513
768	41479	12459
769	41535	12406
770	41591	12353
771	41650	12301
772	41700	12245
773	41754	12191
774	41814	12139
775	41871	12086
776	41928	12033
777	41980	11979
778	42036	11925
779	42093	11872
780	42145	11818
781	42197	11763
782	42252	11709
783	42303	11655
784	42358	11601
785	42414	11547
786	42468	11493
787	42517	11438
788	42571	11384
789	42629	11331
790	42677	11276
791	42734	11223
792	42782	11167
793	42837	11114
794	42890	11059
795	42938	11004
796	42987	10949
797	43038	10894
798	43086	10839
799	43142	10785
800	43196	10731
801	43253	10678
802	43309	10625
803	43360	10570
804	43417	10517
805	43475	10464
806	43527	10409
807	43584	10356
808	43639	10303
809	43696	10249
810	43740	10193
811	43792	10139
812	43850	10086
813	43905	10032
814	43961	9979
815	44016	9925
816	44068	9870
817	44123	9817
818	44176	9763
819	44223	9707
820	44278	9653
821	44333	9600
822	44388	9546
823	44437	9491
824	44490	9437
825	44545	9383
826	44600	9329
827	44648	9274
828	44705	9221
829	44760	9167
830	44815	9114
831	44897	9065
832	44955	9012
833	45012	8959
834	45068	8905
835	45124	8852
836	45181	8798
837	45232	8744
838	45289	8690
839	45342	8636
840	45395	8582
841	45453	8529
842	45509	8475
843	45565	8422
844	45621	8368
845	45675	8314
846	45731	8260
847	45782	8206
848	45830	8151
849	45888	8097
850	45942	8043
851	45996	7990
852	46052	7936
853	46101	7881
854	46151	7826
855	46204	7772
856	46259	7718
857	46316	7665
858	46363	7610
859	46414	7555
860	46467	7501
861	46524	7448
862	46571	7393
863	46621	7338
864	46676	7284
865	46725	7230
866	46774	7175
867	46832	7122
868	46881	7067
869	46935	7013
870	46989	6959
871	47046	6905
872	47102	6852
873	47153	6797
874	47208	6744
875	47263	6690
876	47312	6635
877	47365	6581
878	47421	6527
879	47471	6473
880	47521	6418
881	47578	6365
882	47627	6310
883	47676	6256
884	47730	6202
885	47783	6148
886	47838	6094
887	47899	6041
888	47953	5987
889	48001	5932
890	48054	5878
891	48103	5824
892	48151	5769
893	48206	5715
894	48260	5661
895	48314	5607
896	48363	5553
897	48415	5499
898	48470	5445
899	48520	5391
900	48579	5337
901	48631	5283
902	48686	5229
903	48735	5175
904	48790	5121
905	48845	5067
906	48892	5013
907	48944	4959
908	48991	4904
909	49046	4850
910	49100	4796
911	49148	4742
912	49202	4688
913	49252	4634
914	49306	4580
915	49359	4526
916	49415	4472
917	49471	4419
918	49525	4365
919	49582	4311
920	49639	4257
921	49696	4204
922	49745	4149
923	49799	4096
924	49853	4042
925	49902	3987
926	49950	3933
927	50006	3879
928	50063	3826
929	50116	3772
930	50167	3718
931	50216	3663
932	50273	3610
933	50328	3556
934	50379	3502
935	50433	3448
936	50489	3394
937	50537	3340
938	50592	3286
939	50647	3232
940	50696	3178
941	50746	3124
942	50801	3070
943	50856	3016
944	50908	2962
945	50964	2909
946	51018	2855
947	51076	2801
948	51132	2747
949	51186	2694
950	51236	2639
951	51290	2586
952	51345	2532
953	51399	2478
954	51457	2424
955	51509	2370
956	51561	2316
957	51611	2262
958	51665	2208
959	51716	2154
960	51772	2101
961	51827	2047
962	51878	1993
963	51930	1939
964	51986	1885
965	52039	1831
966	52091	1777
967	52140	1723
968	52192	1669
969	52244	1615
970	52300	1562
971	52349	1508
972	52407	1454
973	52463	1400
974	52517	1346
975	52572	1292
976	52625	1238
977	52682	1185
978	52737	1131
979	52792	1077
980	52846	1023
981	52902	969
982	52955	915
983	53011	861
984	53062	808
985	53115	754
986	53170	700
987	53220	646
988	53271	592
989	53321	538
990	53370	484
991	53418	430
992	53487	377
993	53543	323
994	53599	269
995	53649	215
996	53700	161
997	53753	107
998	53807	53
999	53857	0
